"id","ruc","razon_social","departamento","provincia","distrito","direccion","cobertura","estado","created_at","updated_at"
"72","20379430377","TRANSPORTES CORPORATIVOS S.A.","LIMA","LIMA","CHORILLOS","AV. ALAMEDA LOS PINOS NRO. 449 URB. VILLA MARINA","SANTA ANITA",,,
"73","20603526041","TRANSFICES E.I.R.L.","LA LIBERTAD","CHEPÉN","CHEPÉN","JR OBREROS 631 LA VICTORIA - LIMA","LA LIBERTAD",,,
"74","20545461499","MASICGEO E.I.R.L.","LIMA","LIMA","LA VICTORIA","JR. ABTAO 835","HUANUCO",,,"2024-03-25 15:55:10"
"75","20600876211","GRAU LOGISTICA EXPRESS S.A.","CALLAO","CALLAO","CALLAO","CAL.1 NRO. 253 URB. FDO. BOCANEGRA ALTO (FRENTE AL AEROPUERTO JORGE CHAVEZ)","AREQUIPA - CHICLAYO - CHIMBOTE",,,
"76","20610324291","MULTISERVICIOS TRANSPORTES & DISTRIBUCIONES EVANAN E.I.R.L.","LIMA","LIMA","LA VICTORIA","JR. ANDAHUAYLAS 313","CUSCO",,,"2024-04-16 17:48:39"
"77","20553025291","ERIK PERU CARGO S.A.C","LIMA","LIMA","LIMA","JR. -AUSTRIA NRO. 1349 URB. SAN RAFAEL","LORETO",,,
"78","20554902520","HERMANOS QUILLA CARGO SOCIEDAD ANONIMA CERRADA","LIMA","LIMA","LA VICTORIA","AV. ANDAHUAYLAS NRO 935","QUILLABAMBA",,,
"79","20606325402","TRANSPORTES & SERVICIOS GENERALES VALLADOLID E.I.R.L.","LIMA","LIMA","LA VICTORIA","Prol. Cangallo 1260 Urb Matute","CAJAMARCA",,,"2024-03-02 15:44:45"
"80","20262670130","EMPRESA DE TRANSPORTES SELVA CENTRAL E.I.R.L.","LIMA","LIMA","SAN LUIS","Calle Rio Nazca 171, San Luis, Lima","CHANCHAMAYO",,,"2024-04-24 15:15:38"
"81","20601857295","TRANSPORTES Y SERVICIOS MELARIEL E.I.R.L.","LIMA","LIMA","LA VICTORIA","Jr. San Lorenzo 329","AREQUIPA",,,
"82","20601857457","TRANSPORTES LOGISTICOS Y TURISTICOS SEÑOR DE LUREN EXPRESS E.I.R.L.","LIMA","LIMA","LA VICTORIA","Av Bauzate y Meza 175","HUARAL",,,
"83","20605045244","TRANSPORTES SAUL RUIZ E.I.R.L.","LIMA","LIMA","LA VICTORIA","JR. JIRON RAIMONDI 978",,,,"2024-04-02 22:44:55"
"84","20609930552","MEKARTER","LIMA","LIMA","SAN MARTIN DE PORRES","Jr. Pedro Davalos Lisson N° 14 / Oficina 104 lima cercado/ Referencia: Cuadrante la av. Garcilaso de la vega y Jr. Quilca",,,,"2024-04-08 21:46:27"
"85","20602533213","HUAPAYA EXPRESS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA","LIMA","LIMA","LA VICTORIA","PRO.ANDAHUAYLAS NRO. 218",,,,
"86","20498189637","AREQUIPA EXPRESO MARVISUR EIRL","LAMBAYEQUE","CHICLAYO","CHICLAYO","CALLE TACNA NRO. 999 ESQ.CON SARMIENTO",,,,
"87","20562844199","TODO CARGO E.I.R.L.","LIMA","LIMA","LA VICTORIA","Jr. Luna Pizarro 592 la victoria",,,,
"88","20608241931","EXPRESO PARI S.A.C.","LIMA","LIMA","LA VICTORIA","R. FRANCIA MZA. 56 LOTE. 13 (ALT CDRA 12 DE AV ABTAO CON JR FRANCIA)",,,,
"89","20572235379","AGENCIA “Peralta Paredes Cargo”","LIMA","LIMA","LA VICTORIA","JR. HIPOLITO UNANUE 808 - LA          VICTORIA",,,,
"90","20511464685","CARGO LOS ANDES S.R.L.","LIMA","LIMA","SAN LUIS","JR. RIO TUMBES NRO. 285 URB. LAS MORAS (ALT.CDRA 8 AV.SAN JUAN)",,,,"2024-04-25 21:48:27"
"91","20608632761","TRANSPORTES ""MINAYA""","LIMA","LIMA","SAN MARTIN","MZA. F LOTE. 11 P.J. C. MARIATEGUI",,,,
"92","20544441923","RABBIT EXPRESS S.A.C","23RA","LIMA","LA VICTORIA","AV. DE LAS AMERICAS 1363","-",,,"2024-05-11 16:39:52"
"93","20556552780","EMPRESA DE SERVICIOS MULTIPLES EUROCHANKA SOCIEDAD ANONIMA CERRADA - EUROCHANKA","LIMA","LIMA","LA VICTORIA","JR ANDAHUAYLAS 935 / Referencia cruce con Isabel La Catolica",,,,
"94","20606494921","TRANSPORTE BURGA CARGO S.A.C.","LIMA","LA VICTORIA","LA VICTORIA","MANUEL CISNEROS 394","CAJAMARCA",,,
"95","10104113376","EL ZORRO / OCAÑO GARCIA EPIFANIO RUFINO","LIMA","LIMA","PUENTE PIEDRA","D, Puente Piedra 15117","-",,,"2024-05-23 16:36:12"
"96","20601353878","TRANSPORTE PRUEBA","CUSCO","CUSCO","CUSCO","San Carlos","Cusco2",,,
